Name,Professor,Point,Code
컴퓨터 구조,이시형,3,COMP411008
컴퓨터 비전,정순기,3,ITEC424001
클라우드 컴퓨팅,김은주,3,GLSO227001
SW창업 프로젝트,이호경,3,GLSO217002
컴퓨터망프로그래밍,서지훈,3,GLSO229001
데이터과학기초,박혜영,3,ITEC419001
